,Temperature (K),Luminosity (L/Lo),Radius (R/Ro),Distance (ly)
0,-0.3130692858838654,-0.46525538804021255,-0.39920850902288957,-0.515349670400906
1,-0.1872957628314765,4.178847475892279,0.5427536866003531,4.258967191932159
2,-0.8626484503654638,-0.4653758898924635,-0.40580493107310717,-0.5348275102475298
3,-0.4979312130502385,-0.4134512559628983,-0.23118357416688962,0.05006521392470949
4,-0.8671223823871279,-0.4655273075875499,-0.40594693149709865,-0.5351050833936063
5,-0.010061354322883503,-0.4648846474851783,-0.39871742447057656,-0.5305455510369467
6,-0.1824987911352946,-0.4650341780258079,-0.39859645219606793,-0.4990364096083196
7,-0.6331750287972044,-0.4636562555315891,-0.3506341740266498,-0.4673543962776308
8,-0.6422491449976936,-0.46367314013724237,-0.35104883419173216,-0.46607710322651513
9,1.5930367007658945,-0.3138575289589422,-0.37993897921118536,-0.10280938545524611
10,0.04436957039575383,-0.464071702821965,-0.396005392174368,-0.45072375036609785
11,-0.3073443862301943,-0.4652440643841764,-0.39918082281910067,-0.5158477037567603
12,1.5912487755680214,-0.31392585306618387,-0.38016626942612025,-0.10182658001294698
13,1.8972056085016147,0.7191706235190322,-0.36460136954105843,0.10004607636254338
14,-0.8238472019864346,2.520048699765249,3.7427320272464986,0.6409708910554429
15,0.31575823026254624,-0.4586114958120503,-0.39231672956138874,-0.3997670931323657
16,0.3176068907110886,-0.4585544083669165,-0.39180338338840925,-0.40028194628048536
17,-0.8926046902791188,-0.2593401641722243,1.3239530902389216,0.22699021007089432
18,2.281798088964133,0.12679217361474981,-0.36718928557079117,0.04701860292481437
19,-0.049824813050865245,-0.464424934256195,-0.3957315862022033,-0.4990655022637033
20,-0.8200262564840833,2.520063221128099,3.7431065247514796,0.6410568207710905
21,-0.8304943466453282,-0.46546979670719546,-0.4051159675448187,-0.5297808775673869
22,1.8966140032498096,0.7193410681280518,-0.3645974160934181,0.10131786996983448
23,0.3148318933396863,-0.4587782301150626,-0.3919027865774957,-0.39960066827501045
24,0.31459368310969577,-0.45864142836533217,-0.3923725675788183,-0.4009414789125303
25,1.6000668276243206,-0.31378198712378913,-0.3796745240593205,-0.10300539309899137
26,-0.002258193555154212,-0.4648375666463286,-0.39881007987738104,-0.529386076665616
27,-0.718297104164147,-0.46147607198421986,-0.2882574548920548,-0.4787703772765649
28,-0.5935423735436023,-0.46555138052541595,-0.4026495314909117,-0.5387570148838958
29,-0.910396249166769,-0.46549806112086745,-0.4063876911260545,-0.5283007732363815
30,-0.8201139261464278,2.5200006829474852,3.743261717681332,0.6405921603301318
31,-0.003017844624094591,-0.4647884519274243,-0.39852780932158055,-0.5297678564683392
32,-0.3083265633299341,-0.46527910545803813,-0.39897871284215264,-0.5146407675692581
33,0.3141707045487553,-0.45868544092769353,-0.3924487156732835,-0.3993473783625126
34,-0.8337282024851239,-0.46542831798190937,-0.4046705008277792,-0.5313715662738742
35,-0.3367573977003977,-0.2166840793412547,-0.07469999564452949,0.026146394716412925
36,-0.43787056598477786,-0.4652288558006301,-0.3969038163940569,-0.5250177925729658
37,-0.6427371754891236,-0.46363229863282124,-0.3505096968920519,-0.4661159432250861
38,-0.8628061304647674,-0.46560114252591517,-0.40557704481094253,-0.5344178843510029
39,-0.7210254819860573,-0.4615186290917018,-0.28813902706599903,-0.47906789067574973
40,-0.32742730282576593,-0.2167478325423816,-0.07474061152539524,0.026586869303686565
41,-0.3070044873904546,-0.46523938631014955,-0.39890287648477457,-0.515557441735131
42,-0.5036137885970535,-0.41342180931836703,-0.23096800697202086,0.051706139108369964
43,-0.87046914226592,-0.4653989037205754,-0.40591015046019435,-0.5345364938934322
44,0.03830507866697066,-0.4642486838845651,-0.3958145531286813,-0.4493367662559564
45,0.04184662159693237,-0.4641278503172518,-0.3952472732092734,-0.45050771997854544
46,1.6005251202019872,-0.3137595127659014,-0.3796965674747956,-0.10191057078183444
47,-0.5057170169318894,-0.41329287617519445,-0.2317282151381642,0.05168421308826386
48,0.03558018868058442,-0.46420996393630176,-0.39569698738000075,-0.4493422557123444
49,-0.8690881360453213,-0.4655738088517306,-0.4061472808881016,-0.5357311558044188
50,-0.044497278177522116,-0.4644678953758887,-0.39550926934111463,-0.49977619192781897
51,-0.9106238673846064,-0.46540848397266077,-0.4058365241871889,-0.5311547862486078
52,0.30948427168479964,-0.4587550969363404,-0.39194639332567616,-0.39919514057588235
53,-0.5057000760028271,-0.4133340211261327,-0.23112992169107108,0.05026482722726437
54,-0.8199735311697653,-0.22842309313700815,2.774286662603783,0.4698827566988358
55,0.30766745795847183,-0.4587824825739314,-0.39199439809530423,-0.40031870563950434
56,2.2758977922977737,0.12690049919125798,-0.36801460208952014,0.04624944888574068
57,2.2150786345236506,0.8068775858818369,-0.254849491167284,3.1486751534505357
58,1.6005449930781945,-0.3138153121477195,-0.3795756123252698,-0.10293572660303962
59,1.900902113217006,0.7193327635313704,-0.36498612254910884,0.10039123071153784
